Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
437,310.0,41,132,,"Cluster Platform DL380p Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Web-Service Provider,Hewlett-Packard,Hong Kong,2013,Industry,25920,0,234248.0,476928.0,0,0,,,Cluster,Xeon E5-2630 6C 2.3GHz,Intel SandyBridge,2300,Linux,Linux,,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL380p Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
438,311.0,41,133,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Manufacturing Company,Hewlett-Packard,United States,2013,Industry,13264,0,234232.0,275891.0,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband FDR,North America,Americas
439,,46,439,,"Apollo 6000 XL230a, Xeon E5-2680v3 12C 2.5GHz, Infiniband FDR",Procter and Gamble,Hewlett-Packard,United States,2015,Industry,7680,0,233994.2,307200.0,0,0,,,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Linux,Linux,,12,Intel Xeon E5 (Haswell),Apollo 6000 XL230a,HP Apollo,Infiniband,Infiniband FDR,North America,Americas
440,,46,440,BURA,"bullx DLC 720, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR",University of Rijeka,"Bull, Atos Group",Croatia,2015,Academic,6912,0,233565.0,287539.0,1362048,0,,,Cluster,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Redhat Enterprise Linux 6.4,Linux,,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Southern Europe,Europe
441,,46,441,,"Lenovo NeXtScale nx360M5, Intel Xeon E5-2670v2  10C 2.5GHz, Infiniband FDR",Peking Univeristy,Lenovo,China,2015,Academic,14040,0,233344.0,280800.0,2203000,0,,,Cluster,Intel Xeon E5-2670v2  10C 2.5GHz,Intel IvyBridge,2500,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),Lenovo NeXtScale nx360M5,Lenovo NeXtScale,Infiniband,Infiniband FDR,Eastern Asia,Asia
442,312.0,43,209,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2690v2 10C 3GHz, 10G Ethernet",Electronic Industry,Hewlett-Packard,United States,2014,Industry,14120,0,233049.0,338880.0,0,0,,,Cluster,Intel Xeon E5-2690v2 10C 3GHz,Intel IvyBridge,3000,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
443,314.0,40,107,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,14720,0,232694.0,306176.0,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
444,313.0,40,108,,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband QDR",IT Services Provider ,Hewlett-Packard,United States,2012,Industry,14720,0,232694.0,306176.0,0,0,,,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,North America,Americas
445,315.0,42,348,,"Cluster Platform 3000 BL460c Gen8, Intel Xeon E5-2658v2 10C 2.400GHz, 10G Ethernet",Electrionic Industry,Hewlett-Packard,United States,2013,Industry,20272,0,231783.0,389222.4,0,0,,,Cluster,Intel Xeon E5-2658v2 10C 2.4GHz,Intel IvyBridge,2400,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),Cluster Platform 3000 BL460c Gen8,HP Cluster Platform 3000BL,10G,10G Ethernet,North America,Americas
446,317.0,38,46,Mustang,"Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR",Los Alamos National Laboratory,Cray Inc.,United States,2011,Research,37056,0,230600.0,340915.0,2240000,1120000,540.4,426.72,Cluster,Opteron 6176 12C 2.3GHz,AMD x86_64,2300,RHEL 6.1,Linux,,12,"Opteron 6100-series ""Magny-Cours"" ",Xtreme-X 1320H-LANL,Appro Xtreme-X,Infiniband,Infiniband QDR,North America,Americas
447,318.0,44,257,,"Cluster Platform SL210t, Intel Xeon E5-2680v2  10C 2.8GHz, 10G Ethernet",Petroleum Company,Hewlett-Packard,United Kingdom,2014,Industry,14700,0,229659.0,329280.0,0,0,,,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,,10,Intel Xeon E5 (IvyBridge),Cluster Platform SL210t,HP Cluster Platform 3000SL,10G,10G Ethernet,Northern Europe,Europe
448,319.0,41,230,,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",Geoscience,IBM/Lenovo,United States,2013,Industry,12096,0,228842.88,251596.8,0,0,251.26,910.78,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
449,320.0,42,177,,"Cluster Platform DL380e Gen8, Xeon E5-2430L 8C 2.000GHz, Gigabit Ethernet",Software Company (M),Hewlett-Packard,United States,2013,Industry,29556,0,228828.7,472896.0,0,0,,,Cluster,Xeon E5-2430L 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
450,321.0,41,138,,"Cluster Platform DL160 Gen8 , Xeon E5-2630 6C 2.300GHz, Gigabit Ethernet",Telecommunication Company,Hewlett-Packard,Japan,2013,Industry,25056,0,227236.0,461030.0,0,0,,,Cluster,Xeon E5-2630 6C 2.3GHz,Intel SandyBridge,2300,Linux,Linux,,6,Intel Xeon E5 (SandyBridge),Cluster Platform DL160 Gen8 ,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
451,322.0,42,179,IRIDIS 4,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",University of Southampton,IBM,United Kingdom,2013,Academic,12000,0,227026.67,249600.0,0,0,249.26,910.8,Cluster,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
452,323.0,43,217,,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.2GHz, 10G Ethernet",IT Service Provider,Hewlett-Packard,United States,2014,Industry,18816,0,226841.6,331161.6,0,0,,,Cluster,Xeon E5-2660 8C 2.2GHz,Intel SandyBridge,2200,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform SL230s Gen8,HP Cluster Platform 3000SL,10G,10G Ethernet,North America,Americas
453,324.0,42,180,,"Cluster Platform DL380e Gen8, Xeon E5-2430L 8C 2.000GHz, Gigabit Ethernet",Software Company (M),Hewlett-Packard,United States,2013,Industry,29172,0,226214.2,466752.0,0,0,,,Cluster,Xeon E5-2430L 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
454,325.0,39,81,MOGON,"MEGWARE Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR",Universitaet Mainz,MEGWARE,Germany,2012,Academic,33920,0,225617.0,284928.0,2830000,560000,467.0,483.12,Cluster,Opteron 6272 16C 2.1GHz,AMD x86_64,2100,Linux,Linux,,16,"Opteron 6200 Series ""Interlagos""",MEGWARE Saxonid 6100,MEGWARE Cluster,Infiniband,Infiniband QDR,Western Europe,Europe
455,326.0,44,265,HELIOS,"Bullx B515 cluster, Xeon E5-2450 8C 2.1GHz, Infiniband FDR, Intel Xeon Phi 5110P","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull, Atos Group",Japan,2014,Academic,24480,21600,225129.0,411984.0,940800,0,150.0,1500.86,Cluster,Xeon E5-2450 8C 2.1GHz,Intel SandyBridge,2100,bullx SCS,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Bullx B515 cluster,Bull Bullx,Infiniband,Infiniband FDR,Eastern Asia,Asia
456,327.0,41,140,,"Cluster Platform DL380e Gen8, Xeon E5-2450 8C 2.100GHz, Gigabit Ethernet",Service Provider,Hewlett-Packard,China,2013,Industry,27392,0,224670.0,460186.0,0,0,,,Cluster,Xeon E5-2450 8C 2.1GHz,Intel SandyBridge,2100,Linux,Linux,,8,Intel Xeon E5 (SandyBridge),Cluster Platform DL380e Gen8,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
