Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent,Publication Date
11,9.0,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2012,Research,77184,0,1359000.0,1667174.0,81.52,5757528,0,2251.0,603.73,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe,11/2012
12,10.0,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Dawning,China,2010,Research,120640,64960,1271000.0,2984300.0,42.59,2359296,0,2580.0,492.64,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia,11/2012
13,,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615.0,1503590.0,83.64,0,0,1436.72,875.34,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas,11/2012
14,11.0,37,7,Pleiades,"SGI ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,125980,0,1243000.0,1731836.0,71.77,3204600,0,3986.96,311.77,MPP,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,,4,"Xeon 5400-series ""Harpertown""",SGI ICE 8200EX/8400EX,SGI Altix,Infiniband,Infiniband,North America,Americas,11/2012
15,12.0,38,28,Helios,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Bull SA,Japan,2011,Academic,70560,0,1237000.0,1524096.0,81.16,4870152,0,2200.0,562.27,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia,11/2012
16,13.0,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,114688,0,1207844.0,1468006.0,82.28,0,0,575.31,2099.47,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe,11/2012
17,14.0,36,4,TSUBAME 2.0,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","GSIC Center, Tokyo Institute of Technology",NEC/HP,Japan,2010,Academic,73278,56994,1192000.0,2287630.0,52.11,2490368,0,1398.61,852.27,Cluster,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia,11/2012
18,15.0,37,6,Cielo,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2011,Research,142272,0,1110000.0,1365811.2,81.27,0,0,3980.0,278.89,MPP,Opteron 6136 8C 2.400GHz,AMD x86_64,2400,Linux,Linux,,8,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas,11/2012
19,16.0,36,5,Hopper,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2010,Research,153408,0,1054000.0,1288627.2,81.79,4537344,0,2910.0,362.2,MPP,Opteron 6172 12C 2.100GHz,AMD x86_64,2100,Linux,Linux,,12,"Opteron 6100-series ""Magny-Cours"" ",Cray XE6,Cray XE,Custom Interconnect,Custom Interconnect,North America,Americas,11/2012
20,17.0,36,6,Tera-100,Bull bullx super-node S6010/S6030,Commissariat a l'Energie Atomique (CEA),Bull SA,France,2010,Research,138368,0,1050000.0,1254550.0,83.7,4926336,0,4590.0,228.76,Cluster,Xeon X7560 8C 2.260GHz,Intel Nehalem,2260,Linux,Linux,,8,Xeon 5500-series (Nehalem-EX),bullx super-node S6010/S6030,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe,11/2012
