Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
261,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
262,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
263,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
264,Geoscience (P),IBM,"iDataPlex DX360M3, Xeon 2.93, Infiniband",United States,2011,5112,52874.1,59912.6,0,0,159.75,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,IBM iDataPlex,iDataPlex DX360M3,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband QDR,North America,Americas,06/2011
265,Commissariat a l'Energie Atomique (CEA),Bull SA,"NovaScale 5160, Itanium2 1.6 GHz, Quadrics",France,2006,9968,52840.0,63795.2,0,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,NovaScale 5160,Linux,,Constellations,Research,Defense,Quadrics,Quadrics,Western Europe,Europe,06/2011
266,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2011,9336,52814.0,94480.0,0,0,409.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
267,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2011,9336,52814.0,94480.0,0,0,409.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
268,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2011,9336,52814.0,94480.0,0,0,409.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
269,Banking (M),IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",United States,2011,9336,52814.0,94480.0,0,0,409.62,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
270,IDRIS,IBM,"Power 575, p6 4.7 GHz, Infiniband",France,2008,3584,52810.0,67379.2,0,0,572.79,Power,POWER6,4700,2,IBM pSeries,pSeries 575,AIX,,MPP,Academic,Not Specified,Infiniband,Infiniband,Western Europe,Europe,06/2011
