Rank,Site,Manufacturer,Computer,Country,Year,Cores,RMax,RPeak,Nmax,Nhalf,Power,Processor Family,Processor,Proc. Frequency,Processor Cores,System Family,System Model,Operating System,Accelerator,Architecture,Segment,Application Area,Interconnect Family,Interconnect,Region,Continent,Publication Date
421,Financial Service Provider,Hewlett-Packard,"Cluster Platform SL170z, Xeon X5650 2.66 Ghz, Infiniband",United States,2011,5184,43370.1,55157.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000SL,Cluster Platform SL170z,Linux,,Cluster,Industry,Finance,Infiniband,Infiniband QDR,North America,Americas,06/2011
422,IT Services Provider (B),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",Canada,2010,6820,43322.8,81840.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
423,National Fusion Research Institute,Hewlett-Packard,"HP BL685cG7, Opteron 12C, 2.2GHz, Infiniband","Korea, South",2011,6912,43233.0,60825.0,1268064,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2200,12,HP Blade Cluster,HP BL-685cG7 Blade System,Linux,,Cluster,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,06/2011
424,Web Company (C),Hewlett-Packard,"Cluster Platform 4000 BL685c G7, Opteron 8C 2.4 Ghz, GigE",China,2011,8560,43214.7,82176.0,0,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2400,8,HP Cluster Platform 4000BL,Cluster Platform 4000 BL685c G7,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
425,Fermi National Accelerator Laboratory,Koi Computers,"Koi 1042G-TF Cluster, Opteron 8-core 2Ghz, Infiniband",United States,2010,7680,43050.0,61440.0,1200000,0,0.0,AMD x86_64,AMD x86_64 Opteron 8 Core,2000,8,KOI Cluster,Koi 1042G-TF Cluster,Linux,,Cluster,Research,Research,Infiniband,Infiniband QDR,North America,Americas,06/2011
426,Consulting (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2009,6768,43000.9,81216.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,,Cluster,Industry,Consulting,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
427,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912.0,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
428,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912.0,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
429,IT Service Provider (B),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7600,42993.1,76912.0,0,0,240.28,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
430,Nagasaki University,Self-made,"DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR",Japan,2011,7920,42830.0,111150.0,524800,0,31.13,Intel Core,Intel Core Core i3,2930,2,NOW - Intel,DEGIMA Cluster,Linux,ATI GPU,Cluster,Academic,Research,Infiniband,Infiniband QDR,Eastern Asia,Asia,06/2011
431,Central Research Institute of Electric Power Industry/CRIEPI,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2010,4096,42690.0,45875.2,1183560,0,183.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,06/2011
432,National Institute for Materials Science,SGI,"SGI Altix ICE 8200EX, Xeon X5560 quad core 2.8 GHz",Japan,2009,4096,42690.0,45875.2,1183560,0,183.7,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2800,4,SGI Altix,SGI Altix ICE 8200EX,SLES10 + SGI ProPack 5,,MPP,Research,Not Specified,Infiniband,Infiniband,Eastern Asia,Asia,06/2011
433,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565.0,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
434,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565.0,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
435,Financial Services (H),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, GigE",United States,2011,8856,42565.0,80058.2,0,0,246.47,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
436,IT Service Provider (B),Hewlett-Packard,"Cluster Platform 4000 BL465c G6, Xeon 2.4 GHz, GigE",United States,2011,7746,42495.2,80558.4,0,0,0.0,AMD x86_64,AMD x86_64 Opteron Six Core,2600,6,HP Cluster Platform 4000BL,Cluster Platform 4000 BL465c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
437,Social NW Provider,Hewlett-Packard,"HP DL180 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,8400,42432.0,80640.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL180 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
438,IT Service Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",United States,2009,6672,42406.4,80064.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
439,Maui High-Performance Computing Center (MHPCC),Dell,"PowerEdge 1955, 3.0 GHz, Infiniband",United States,2006,5200,42390.0,62400.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Dell PowerEdge Cluster,PowerEdge 1955,RedHat Enterprise 4,,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2011
440,CSIRO (Commonwealth Scientific),Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.8 Ghz, Infiniband QDR",Australia,2011,4800,42333.6,53760.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania,06/2011
441,CSIRO (Commonwealth Scientific),Hewlett-Packard,"Cluster Platform 3000 BL2x220, X56xx 2.8 Ghz, Infiniband QDR",Australia,2011,4800,42333.6,53760.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2800,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,,Cluster,Research,Not Specified,Infiniband,Infiniband,Australia and New Zealand,Oceania,06/2011
442,Geoscience,IBM,"iDataPlex, Xeon QC 3.0 GHz, Infiniband",United States,2009,4704,42208.0,56448.0,0,0,206.39,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),3000,4,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Industry,Geophysics,Infiniband,Infiniband,North America,Americas,06/2011
443,Network Equipment Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon E5450 3.0 GHz, GigE",United States,2010,6632,42158.5,79584.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon X54xx (Harpertown),3000,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
444,Commissariat a l'Energie Atomique (CEA),Bull SA,"Novascale 3045, Itanium2 1.6 GHz, Infiniband",France,2007,7680,42130.0,49152.0,1430000,0,0.0,Intel IA-64,Intel IA-64 Itanium2 Montecito Dual Core,1600,2,Bull SMP Cluster,Novascale 3045,Linux,,Constellations,Research,Not Specified,Infiniband,Infiniband DDR,Western Europe,Europe,06/2011
445,Financial Institution (),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Belgium,2010,8352,41920.0,75735.9,0,0,240.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
446,Financial Institution (),IBM,"iDataPlex, Xeon E55xx QC 2.26 GHz, GigEthernet",Belgium,2010,8352,41920.0,75735.9,0,0,240.12,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2267,4,IBM iDataPlex,xSeries iDataPlex,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
447,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
448,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7848,41879.4,79421.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
449,Telecommunication Company,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",China,2010,7848,41879.4,79421.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
450,Tomsk State University,T-Platforms,"T-Platforms T-Blade 1.1/2.0, Xeon X5670 2,93 GHz, Infiniband",Russia,2011,4296,41840.0,50349.0,680063,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,T-Platforms Cluster,T-Platforms Cluster,Linux,,Cluster,Academic,Not Specified,Infiniband,Infiniband QDR,Eastern Europe,Europe,06/2011
451,Amazon Web Services,Self-made,"Amazon EC2 Cluster, Xeon X5570 2.95 Ghz, 10G Ethernet",United States,2010,7040,41820.0,82508.0,1487304,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,NOW - Intel,Amazon EC2 Cluster,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,10G Ethernet,North America,Americas,06/2011
452,Saudi Aramco,ClusterVision/Dell,"Dell PowerEdge M610 Cluster, Nehalem-EP 2.93Ghz, Infiniband",Saudi Arabia,2009,4096,41770.0,48005.0,829248,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Dell PowerEdge Cluster,PowerEdge M610 Cluster,Linux,,Cluster,Industry,Energy,Infiniband,Infiniband,Western Asia,Asia,06/2011
453,Web Content Provider,Hewlett-Packard,"HP DL160 Cluster G6, Xeon E5620 2.4 GHz, GigE",United States,2011,8260,41747.8,79296.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2400,4,HP Cluster Platform 3000,HP DL160 Cluster G6,Linux,,Cluster,Industry,WWW,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
454,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
455,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
456,IT Services Provider (C),IBM,"BladeCenter HS22 Cluster, Xeon QC X55xx 2.53 GHz, GigEthernet",United States,2011,7368,41680.7,74564.2,0,0,232.95,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
457,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2011,4856,41586.7,51784.4,0,0,195.15,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas,06/2011
458,Lockheed Martin,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.66 GHz, Infiniband",United States,2011,4856,41586.7,51784.4,0,0,195.15,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2666,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Aerospace,Infiniband,Infiniband,North America,Americas,06/2011
459,Max-Planck-Gesellschaft MPI/Eisenforschung,Megware,"Megware Saxonid 6100, Opteron 12C 2.3 GHz, Infiniband QDR",Germany,2011,5664,41460.0,52110.0,1108800,0,0.0,AMD x86_64,AMD x86_64 Opteron 12 Core,2300,12,Megware Cluster,Saxonid 6100,Linux,,Cluster,Research,Research,Infiniband,Infiniband QDR,Western Europe,Europe,06/2011
460,A*STAR Computational Resource Centre,Fujitsu,"BX900 Xeon X5570/X5670 2.93GHz , Infiniband QDR",Singapore,2011,3888,41440.0,45567.0,1026432,0,175.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2930,4,Fujitsu Cluster,Fujitsu Cluster,Linux,,Cluster,Government,Not Specified,Infiniband,Infiniband QDR,South-eastern Asia,Asia,06/2011
461,Government,Hewlett-Packard,"Cluster Platform 3000 BL2x220, E5530 2.4 GHz, GigE",United States,2011,8192,41414.8,78643.2,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2400,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,,Cluster,Government,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
462,Netwok Equipment Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",Finland,2011,7776,41347.9,78693.1,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Hardware,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
463,Financial Institute,Hewlett-Packard,"Cluster Platform 3000 BL460c G1, Xeon L5410 2.33 GHz, GigE",France,2010,8432,41347.0,78586.2,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2333,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G1,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe,06/2011
464,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
465,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
466,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
467,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
468,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
469,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
470,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
471,Defense,IBM,"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",United States,2010,4824,41312.7,54607.7,0,0,190.12,Intel EM64T,Intel EM64T Xeon E54xx (Harpertown),2830,4,IBM BladeCenter,"BladeCenter HS21 Cluster, HT Xeon quad core",Linux,,Cluster,Industry,Defense,Infiniband,Infiniband,North America,Americas,06/2011
472,Classified,SGI,"Rackable(tm) C2005-TY2 Cluster, Xeon E5630 quad core 2.53 GHz, Gigabit Ethernet",United States,2010,9520,41290.0,96342.4,1601180,0,0.0,Intel EM64T,Intel EM64T Xeon E56xx (Westmere-EP),2530,4,Rackable Cluster,Rackable(tm) C2005-TY2 Cluster,Linux,,Cluster,Classified,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
473,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
474,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
475,Engineering Company,IBM,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",China,2010,7296,41273.4,73835.5,0,0,320.11,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM xSeries,xSeries x3650M2 Cluster Xeon QC,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
476,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
477,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
478,Network Company,IBM,"BladeCenter HS22 Cluster, Xeon QC GT 2.53 GHz, GigEthernet",China,2009,7168,41272.7,72540.2,0,0,282.75,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,IBM BladeCenter,"BladeCenter HS22 Cluster, NH Xeon quad core",Linux,,Cluster,Industry,Information Processing Service,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia,06/2011
479,Logistic Services (E),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5550 2.66 GHz, GigE",United States,2011,7340,41260.5,78273.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X55xx (Nehalem-EP),2660,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
480,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",United States,2011,6636,41199.0,77773.9,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
481,QXL Poland SP ZOO,Hewlett-Packard,"Cluster Platform 3000 BL2x220, L54xx 2.5 Ghz, GigE",Poland,2010,7384,40759.7,73840.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon L54xx (Harpertown),2500,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL 2x220,Linux,,Cluster,Industry,Telecomm,Gigabit Ethernet,Gigabit Ethernet,Eastern Europe,Europe,06/2011
482,Financial Institution,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE",United States,2011,9696,40730.6,87651.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Finance,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
483,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon L5520 2.26 GHz, GigE",United Kingdom,2010,8568,40730.6,77454.7,0,0,0.0,Intel EM64T,Intel EM64T Xeon L55xx (Nehalem-EP),2260,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe,06/2011
484,US Army Research Laboratory (ARL),Linux Networx,Evolocity II (LS Supersystem) Xeon 51xx 3.0 GHz IB,United States,2007,4416,40610.0,52992.0,917104,0,0.0,Intel EM64T,Intel EM64T Xeon 51xx (Woodcrest),3000,2,Linux Networx Evolocity,Evolocity II (LS Supersystem),SuSE Linux Enterprise Server 9,,Cluster,Research,Research,Infiniband,Infiniband,North America,Americas,06/2011
485,IT Service Provider,Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, 10G",United Kingdom,2011,4392,40597.3,51474.2,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2930,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Not Specified,Gigabit Ethernet,10G Ethernet,Northern Europe,Europe,06/2011
486,Logistic Services (C),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5540 2.53 GHz, GigE",United States,2010,7600,40594.2,76912.0,0,0,0.0,Intel EM64T,Intel EM64T Xeon E55xx (Nehalem-EP),2530,4,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Logistic Services,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
487,University of Bergen,Cray Inc.,Cray XT4 QuadCore 2.3 GHz,Norway,2008,5550,40590.0,51060.0,0,0,274.73,AMD x86_64,AMD x86_64 Opteron Quad Core,2300,4,Cray XT,Cray XT4 QuadCore,CNL,,MPP,Academic,Not Specified,Proprietary,XT4 Internal Interconnect,Northern Europe,Europe,06/2011
488,IT Services Provider (D),Hewlett-Packard,"Cluster Platform 3000 BL460c G6, Xeon E5650 2.66 GHz, GigE",United States,2010,7206,40527.8,76671.8,0,0,0.0,Intel EM64T,Intel EM64T Xeon X56xx (Westmere-EP),2660,6,HP Cluster Platform 3000BL,Cluster Platform 3000 BL460c G6,Linux,,Cluster,Industry,Information Service,Gigabit Ethernet,Gigabit Ethernet,North America,Americas,06/2011
